Sample 342: No. iterations = 512, Error = 0.0101463
Sample 343: No. iterations = 512, Error = 0.0101797
Sample 344: No. iterations = 512, Error = 0.010247
Sample 345: No. iterations = 512, Error = 0.0110537
Sample 346: No. iterations = 512, Error = 0.0100926
Sample 347: No. iterations = 512, Error = 0.0101199
Sample 348: No. iterations = 512, Error = 0.00928261
Sample 349: No. iterations = 512, Error = 0.0100634
Sample 350: No. iterations = 512, Error = 0.00934507
Sample 351: No. iterations = 512, Error = 0.0106247
Sample 352: No. iterations = 512, Error = 0.00941444
Sample 353: No. iterations = 512, Error = 0.00979158
Sample 354: No. iterations = 512, Error = 0.0122437
Sample 355: No. iterations = 512, Error = 0.0122999
Sample 356: No. iterations = 512, Error = 0.00894117
Sample 357: No. iterations = 512, Error = 0.0104916
Sample 358: No. iterations = 512, Error = 0.0121102
Sample 359: No. iterations = 512, Error = 0.00964583
Sample 360: No. iterations = 512, Error = 0.0114495
Sample 361: No. iterations = 512, Error = 0.0104384
Sample 362: No. iterations = 512, Error = 0.0101677
Sample 363: No. iterations = 512, Error = 0.0101837
Sample 364: No. iterations = 512, Error = 0.00979257
Sample 365: No. iterations = 512, Error = 0.0116746
Sample 366: No. iterations = 512, Error = 0.0119607
Sample 367: No. iterations = 512, Error = 0.00937124
Sample 368: No. iterations = 512, Error = 0.0113044
Sample 369: No. iterations = 512, Error = 0.00938987
Sample 370: No. iterations = 512, Error = 0.010945
Sample 371: No. iterations = 512, Error = 0.00912428
Sample 372: No. iterations = 512, Error = 0.0096708
Sample 373: No. iterations = 512, Error = 0.0102085
Sample 374: No. iterations = 512, Error = 0.0104444
Sample 375: No. iterations = 512, Error = 0.0110109
Sample 376: No. iterations = 512, Error = 0.0114523
Sample 377: No. iterations = 512, Error = 0.00995554
Sample 378: No. iterations = 512, Error = 0.0107751
Sample 379: No. iterations = 512, Error = 0.0107943
Sample 380: No. iterations = 512, Error = 0.0103925
Sample 381: No. iterations = 512, Error = 0.0112112
Sample 382: No. iterations = 512, Error = 0.0114199
Sample 383: No. iterations = 512, Error = 0.0100176
Sample 384: No. iterations = 512, Error = 0.00981521
Sample 385: No. iterations = 512, Error = 0.0117418
Sample 386: No. iterations = 512, Error = 0.00946847
Sample 387: No. iterations = 512, Error = 0.0100242
Sample 388: No. iterations = 512, Error = 0.0122884
Sample 389: No. iterations = 512, Error = 0.0105609
Sample 390: No. iterations = 512, Error = 0.0101635
Sample 391: No. iterations = 512, Error = 0.011201
Sample 392: No. iterations = 512, Error = 0.00921766
Sample 393: No. iterations = 512, Error = 0.0108246
Sample 394: No. iterations = 512, Error = 0.0133085
Sample 395: No. iterations = 512, Error = 0.0106435
Sample 396: No. iterations = 512, Error = 0.0117085
Sample 397: No. iterations = 512, Error = 0.012333
Sample 398: No. iterations = 512, Error = 0.0116064
Sample 399: No. iterations = 512, Error = 0.00955847
Sample 400: No. iterations = 512, Error = 0.0114504
Sample 401: No. iterations = 512, Error = 0.0105846
Sample 402: No. iterations = 512, Error = 0.00988991
Sample 403: No. iterations = 512, Error = 0.0118707
